a:	alay
amf:	bk. apf (arab monetary fund)
amk:	amerikan merkez komutanlığı
anam:	avrupa nükleer araştırma merkezi
anat.:	anatomi
anaü:	anadolu üniversitesi
ant:	akaryakıt i̇kmal ve nato pol tesisleri i̇şletme başkanlığı
ant.:	antropoloji
ao:	anonim ortaklık
aoç:	atatürk orman çiftliği
aöb:	avrupa ödemeler birliği
aöf:	açıköğretim fakültesi
ap:	abd haber ajansı (associated press)
apa:	avrupa para anlaşması
apb:	avrupa para birliği
ape:	avrupa para enstitüsü
apec:	bk. api̇i̇b (asia pacific economic cooperation)
apf:	arap para fonu
api̇i̇b:	asya pasifik i̇ktisadi i̇ş birliği
apö:	avrupa parlamenterler örgütü
aps:	acele posta servisi
apt.:	apartman, apartmanı
ar.:	arapça
arel:	i̇stanbul arel üniversitesi
ar-ge:	araştırma geliştirme
ark.:	arkeoloji
arş. gör.:	araştırma görevlisi
as.:	asker, askerî, askerlik
as. i̇z.:	askerî i̇nzibat
asal:	asker alma dairesi başkanlığı
asb.:	astsubay
aselsan:	askerî elektronik sanayii
asf:	avrupa sosyal fonu
asi̇gm:	adli sicil ve i̇statistik genel müdürlüğü
ask:	avrupa standartlar komitesi
aski̇:	ankara su ve kanalizasyon i̇daresi
aso:	ankara sanayi odası
ast:	ankara sanat tiyatrosu
astb:	1. amerika serbest ticaret bölgesi 2. avrupa serbest ticaret birliği
astr.:	astronomi
astrol.:	astroloji
asü:	aksaray üniversitesi
aş:	anonim şirket
aşti̇:	ankara şehirler arası terminal i̇şletmesi
at:	avrupa topluluğu
atad:	avrupa toplulukları adalet divanı
atam:	atatürk araştırma merkezi
atatürk üni̇:	atatürk üniversitesi
atb:	asya takas birliği
atğm.:	asteğmen
atk:	adli tıp kurumu
atm.:	atmosfer
ato:	ankara ticaret odası
atü:	atılım üniversitesi
atygf:	avrupa tarımsal yönlendirme ve garanti fonu
aua:	avrupa uzay ajansı
aü:	1. ankara üniversitesi 2. ardahan üniversitesi
av.:	avukat
avm:	alışveriş merkezi
ayb:	1. avrupa yayın birliği 2. avrupa yatırım bankası
ayi̇m:	askerî yüksek i̇dare mahkemesi
aym:	anayasa mahkemesi
b:	1. batı 2. bay
badet:	batı afrika devletleri ekonomik topluluğu
bae:	birleşik arap emirlikleri
bağ.:	bağlaç
bağ-kur:	esnaf ve sanatkârlar ve diğer bağımsız çalışanlar sosyal sigortalar kurumu
bakb:	batı afrika kalkınma bankası
basagm:	başbakanlık aile ve sosyal araştırmalar genel müdürlüğü
bat:	bk. tbb (the banks association of turkey)
bato:	batı afrika takas odası
baü:	balıkesir üniversitesi
bay üni̇:	bayburt üniversitesi
bbc:	i̇ngiliz radyo televizyon kurumu (british broadcasting corporation)
bcg:	verem aşısı (bacillus calmette guèrin)
bçvş.:	başçavuş
bd:	bilim dalı
bddk:	bankacılık düzenleme ve denetleme kurulu
bdt:	bağımsız devletler topluluğu
be:	büyükelçi
berd:	bk. ai̇kb (european bank for reconstruction and development)
beü:	bitlis eren üniversitesi
bi̇b:	bayındırlık ve i̇skân bakanlığı
bi̇k:	basın i̇lan kurumu
bis:	bk. uöb (bank for international settlements)
bit. b.:	bitki bilimi
biy.:	biyoloji
bk.:	bakınız
bl.:	bilişim
bl.:	bölük
bm:	birleşmiş milletler
bmaek:	birleşmiş milletler avrupa ekonomik komisyonu
bmçyt:	birleşmiş milletler çocuklara yardım teşkilatı
bmebkt:	birleşmiş milletler eğitim, bilim ve kültür teşkilatı
bmskö:	birleşmiş milletler sınai kalkınma örgütü
bmt:	birleşmiş milletler teşkilatı
bmtkk:	birleşmiş milletler ticaret ve kalkınma konferansı
bmyri̇:	birleşmiş milletler yardım ve rehabilitasyon i̇daresi
bn.:	bayan
bnb.:	binbaşı
boad:	bk. bakb
boren:	ulusal bor araştırma enstitüsü
bot.:	bk. bit. b.
botaş:	boru hatları ile petrol taşıma anonim şirketi
böl.:	bölüm
brt:	bartın üniversitesi
bs.:	baskı, basım
bsec:	bk. kei̇ (black sea economic cooperation pact)
bstdb:	bk. ktkb
bşk.:	başkan, başkanlık, başkanı, başkanlığı
btf:	başbakanlık tanıtma fonu kurulu
btk:	bilgi teknolojileri ve i̇letişim kurumu
btü:	batman üniversitesi
bue:	bk. abb (bank of union european)
bul.:	bulvar, bulvarı
bulg.:	bulgarca
bümko:	bütçe ve mali kontrol genel müdürlüğü
bvü:	bezmiâlem vakıf üniversitesi
byegm:	basın-yayın ve enformasyon genel müdürlüğü
c:	cilt
cacm:	bk. oaop (central american common market)
cad.:	cadde, caddesi
caec:	bk. akpm (consultative assembly of european council)
cao:	bk. shö (civil aviation organization)
caricom:	bk. ktop
cbü:	celâl bayar üniversitesi
cc:	konsolosluk birimi (corps consulaire)
cd:	1. kordiplomatik (corps diplomatique) 2. bk. yd (compact disc)
cdb:	bk. kkb (caribbean development bank)
cdh:	bk. ai̇had (cour europeenne des droits de l’homme)
ce:	bk. ak (council of europe)
ceap:	bk. api̇i̇b (asia pacific economic cooperation)
ceca:	bk. akçt (european coal and steel community)
cedh:	bk. ai̇hm (european court of human rights)
cee:	bk. aet (european economic community)
cei:	bk. bdt (commonwealth of independent states)
cen:	bk. ask
centcom:	bk. amk
cento:	bk. maö (central treaty organization)
cern:	bk. anam (conseil européen pour la recherche nucléaire, european organization for nuclear research)
cgs:	uluslararası fizik birimleri sistemi
cia:	bk. mhat (central intelligence agency)
cif:	maliyet-sigorta-navlun (cost, insurance, freight)
ci̇gm:	ceza i̇şleri genel müdürlüğü
cij:	bk. uad (international court of justice)
cios:	bk. ubok (conseil international pour l’organisation scientifique)
cip:	1. taşıma ve sigorta bedeli ödenmiş olarak teslim. 2.ticaretle uğraşan önemli kişiler (commercially important person)
cis:	bk. bdt (commonwealth of independent states)
cjce:	bk. atad (european court of justice)
cm:	santimetre
cmea:	bk. keyk (council for mutual economic aid)
cmk:	ceza muhakemesi kanunu
cmuk:	ceza muhakemeleri usulü kanunu
cnrs:	bk. ubam (centre national de la recherche scientifique)
coğ.:	coğrafya
comcec:	bk. i̇sedak (standing committee for economic and commercial cooperation of the organization of the islamic conference)
comecon:	bk. keyk (council for mutual economic aid)
comesa:	bk. gdaop (common market for eastern and southern africa)
cos:	kosinüs
cso:	cumhurbaşkanlığı senfoni orkestrası
ctc:	bk. uşm (center on transnational corporations)
cte:	ceza ve tevkifevleri genel müdürlüğü
cum. bşk.:	cumhurbaşkanı, cumhurbaşkanlığı
cü:	cumhuriyet üniversitesi
çağ üni̇:	çağ üniversitesi
çasgem:	çalışma ve sosyal güvenlik eğitim ve araştırma merkezi
çaykur:	çay i̇şletmeleri genel müdürlüğü
çed:	çevresel etki değerlendirmesi ve planlama genel müdürlüğü
çev.:	çeviren
çgm:	çalışma ve sosyal güvenlik bakanlığı çalışma genel müdürlüğü
çnü:	çankırı karatekin üniversitesi
çomü:	çanakkale onsekiz mart üniversitesi
çs:	çimento sanayisi
çsgb:	çalışma ve sosyal güvenlik bakanlığı
çukobi̇rli̇k:	çukurova pamuk tarım satış kooperatifleri birliği
çü:	1. çankaya üniversitesi. 2. çukurova üniversitesi
çvş.:	çavuş
çygm:	1. çevre yönetimi genel müdürlüğü 2. çıraklık ve yaygın eğitim genel müdürlüğü
d:	doğu
dagm:	devlet arşivleri genel müdürlüğü
dakb:	doğu afrika kalkınma bankası
dal:	dekalitre
dam:	dekametre
dap:	doğu anadolu projesi
dat:	doğu afrika topluluğu
db:	dünya bankası
db.:	dil bilgisi
dbafi̇t:	dünya bankalar arası finansal i̇letişim topluluğu
ddb:	dernekler dairesi başkanlığı
ddt:	böcek öldü­rücü (dichloro-diphenol-trichloro-ethane)
ddy:	devlet deniz yolları
desi̇yab:	devlet sanayi ve i̇şçi yatırım bankası
deü:	dokuz eylül üniversitesi
dfi̇f:	destekleme ve fiyat i̇stikrar fonu
dfmhö:	dünya fikrî mülkiyet hakları örgütü
dg:	desigram
dgk:	dünya gıda konseyi
dgm:	devlet güvenlik mahkemesi
dgö:	dünya gümrük örgütü
dgs:	dikey geçiş sınavı
dhmi̇:	devlet hava meydanları i̇şletmesi
di̇b:	diyanet i̇şleri başkanlığı
di̇e:	devlet i̇statistik enstitüsü
dil b.:	dil bilimi
di̇yi̇h:	çalışma ve sosyal güvenlik bakanlığı dış i̇lişkiler ve yurt dışı i̇şçi hizmetleri genel müdürlüğü
dk.:	dakika
dkk:	deniz kuvvetleri komutanlığı
dkmp:	doğa koruma ve millî parklar genel müdürlüğü
dl:	desilitre
dlh:	demiryollar limanlar ve hava meydanları i̇nşaatı genel müdürlüğü
dm:	desimetre
dmi̇:	devlet meteoroloji i̇şleri genel müdürlüğü
dmo:	devlet malzeme ofisi
dna:	deoksirübo nükleik asit
dobgm:	devlet opera ve balesi genel müdürlüğü
doç.:	doçent
doğ.:	doğum tarihi
doü:	doğuş üniversitesi
dögm:	din öğretimi genel müdürlüğü
dösi̇m:	kültür ve turizm bakanlığı döner sermaye i̇şletmesi merkez müdürlüğü
dpb:	devlet planlama başkanlığı
dpt:	devlet planlama teşkilatı müsteşarlığı
dpü:	dumlupınar üniversitesi
dr.:	doktor
drl.:	derleyen
dsi̇:	devlet su i̇şleri genel müdürlüğü
dso:	devlet sanayi ofisi
dsö:	dünya sağlık örgütü
dt:	devlet tiyatroları genel müdürlüğü
dtcf:	dil ve tarih-coğrafya fakültesi
dtm:	dış ticaret müsteşarlığı
dtö:	dünya ticaret örgütü
dü:	dicle üniversitesi
dvd:	bk. syd (digital versatile disc)
dz. kuv.:	deniz kuvvetleri 
dz. kuv. k.:	deniz kuvvetleri komutanı, komutanlığı
dzl.:	düzenleyen
e:	eczane
eac:	1. bk. ai̇bö (european association for cooperation) 2. bk. dat (the east african community)
eadb:	bk. dakb (east african development bank)
eaec:	bk. aaet (european atomic energy community)
eaggf:	bk. atygf (european agricultural guidance and guarantee fund)
eat:	eski anadolu türkçesi
ebk:	et ve balık kurumu genel müdürlüğü
ebrd:	bk. ai̇kb (european bank for reconstruction and development
ebu:	bk. ayb (european broadcasting union)
ebwe:	bk. ai̇kb (european bank for reconstruction and development)
ec:	bk. at (european community)
ecb:	bk. amb (european central bank)
ece:	bk. bmaek (united nations economic commission for europe)
echr:	bk. ai̇hm (european court of human rights)
ecj:	bk. atad (european court of justice)
ecla:	bk. lakek (the economic commission for latin america and caribbean)
ecowas:	bk. badet (economic community of west african states)
ecsc:	bk. akçt (european coal and steel community)
ecz.:	eczacı
ed.:	1. edebiyat 2. editör
e. :	edat
eec:	bk. aet (european economic community)
eeg:	beyin akım grafiği (elektroensefalogram)
eft:	bankalar arası para aktarımı (electronic fond transfer)
efta:	bk. astb (european free trade area/association)
egm:	emniyet genel müdürlüğü
egmr:	bk. ai̇hm (european court of human rights)
ego:	ankara belediyesi elektrik, gaz, otobüs i̇şletmeleri
eği̇tek:	eğitim teknolojileri genel müdürlüğü
eib:	bk. ayb (european investment bank)
ei̇bkt:	ekonomik i̇ş birliği ve kalkınma teşkilatı
ei̇bö:	ekonomik i̇ş birliği örgütü
ei̇ei̇:	elektrik i̇şleri etüt i̇daresi genel müdürlüğü
ekg:	kalp akım grafiği (elektrokardiyogram)
ekon.:	ekonomi
emg:	kas akım grafiği (electromyographie)
emi:	bk. ape (european monetary institute)
emk:	elektromotor kuvvet
emu:	bk. ai̇pb (european monetary union)
ens.:	enstitü, enstitüsü
epa:	bk. apö (european parliamentary association)
epdk:	enerji piyasası düzenleme kurulu
epu:	bk. aöb (european payments union)
erdemi̇r:	ereğli demir çelik fabrikaları
erdf:	bk. abkf (european regional development fund)
erm.:	ermenice
erü:	erciyes üniversitesi
esa:	bk. aua (european space agency)
esf:	bk. asf (european social fund)
esgm:	esnaf ve sanatkârlar genel müdürlüğü
eshot:	i̇zmir belediyesi elektrik, su, hava gazı, otobüs, tramvay i̇şletmeleri
esogü:	eskişehir osmangazi üniversitesi
et:	eski türkçe
etkb:	enerji ve tabii kaynaklar bakanlığı
etogm:	erkek teknik öğretim genel müdürlüğü
eu:	bk. ab (european union)
eugh:	bk. atad (european court of justice)
euratom:	bk. aaet (european atomic energy community)
eü:	1. ege üniversitesi 2. erzincan üniversitesi
eüaş:	elektrik üretim anonim şirketi
ewg:	bk. aet (european economic community)
exi̇mbank:	türkiye i̇hracat ve kredi bankası
f.:	fiil
f:	fiyat, fiyatı
fab:	federal araştırma bürosu
fac:	bk. yi̇bf
fak.:	fakülte
fak-fuk fon:	sosyal yardımlaşma ve dayanışmayı teşvik fonu
fao:	bk. gtö (united nations food and agricultural organization)
far.:	farsça
fba:	fransız basın ajansı
fbi:	bk. fab (federal bureau of investigation)
fel.:	felsefe
fiba:	bk. ubf (fédération internationale de basketball association)
fide:	bk.usf (fédération internationale des échecs)
fides:	bk. i̇skyf
fifa:	bk. uff (fédération internationale de football association)
fil.:	filoloji, filolojisi
fila:	bk. uagf (fédération internationale des luttes associées)
fir:	uçuş hattı düzenlemesi (flight information region)
fi̇skobi̇rli̇k:	fındık tarım satış kooperatifleri birliği
fiz.:	fizik
fizy.:	fizyoloji
fkb:	fizik, kimya, biyoloji
fm:	frekans modülasyonu (frequency modulation)
fmviü:	işık üniversitesi
fob:	malın belirlenen limanda gemi üzerindeki teslim fiyatı (free on board)
fr.:	fransızca
frb:	bk. amb (federal reserve bank)
fsmvü:	fatih sultan mehmet vakıf üniversitesi
ftaa:	bk. astb (free trade area of the americas)
fü:	1. fatih üniversitesi 2. fırat üniversitesi
g:	gram
g:	güney
gamhk:	güney avrupa müttefik hava kuvvetleri
gap:	güneydoğu anadolu projesi
gapbki̇:	gap bölge kalkınma i̇daresi başkanlığı
gata:	gülhane askerî tıp akademisi
gaut:	güneydoğu asya uluslar topluluğu
gazü:	gaziantep üniversitesi
gb:	1. bilgisayarda bellek birimi (gigabyte) 2. güneybatı 3.gümrük birliği
gbt:	genel bilgi taraması
gd:	güneydoğu
gdaop:	güney ve doğu afrika ortak pazarı
gdzü:	gediz üniversitesi
gen.:	general
geom.:	geometri
gi̇b:	gelir i̇daresi başkanlığı
gi̇gm:	başbakanlık güvenlik i̇şleri genel müdürlüğü
gn.:	genel
gnkur.:	genelkurmay
goü:	gaziosmanpaşa üniversitesi
gön.:	gönderen
gr.:	gramer
grt:	groston
gsgm:	1.gençlik ve spor genel müdürlüğü 2. güzel sanatlar genel müdürlüğü
gsm:	mobil cep telefonu (global system for mobile communications)
gsmh:	gayrisafi millî hasıla
gsü:	galatasaray üniversitesi
gsyh:	gayrisafi yurt içi hasıla
gtö:	gıda ve tarım örgütü
gus:	bk. bdt (commonwealth of independent states)
gü:	1. gazi üniversitesi 2. giresun üniversitesi 3. gümüşhane üniversitesi
gyd:	görüntülü yoğun disk
iski : istanbul su ve kanalizasyon idaresi
gyte:	gebze yüksek teknoloji enstitüsü
gzk:	gazikent üniversitesi
h:	1. hicri 2. hastane, hastanesi
ha:	harp akademisi
habitat:	birleşmiş milletler i̇nsan yerleşimleri konferansı (centre for human settlements)
haccp:	kritik kontrol noktalarında tehlike analizi
havaş:	hava alanları ve yer hizmetleri genel müdürlüğü
hay. b.:	hayvan bilimi
haz.:	hazırlayan
hdd:	ana bellek sürücüsü (hard disk drive)
hek.:	hekimlik, hekim, hekimi
hgk:	harita genel komutanlığı
hgm:	haberleşme genel müdürlüğü
hiv:	aids hastalığına neden olan virüs (human immunodeficiency virus)
hi̇tü:	hitit üniversitesi
hkk:	hava kuvvetleri komutanlığı
hl:	hektolitre
hlk.:	halk ağzı
hm:	hazine müsteşarlığı
hm:	hektometre
hmuk:	hukuk muhakemeleri usulü kanunu
ho:	harp okulu
hrü:	harran üniversitesi
hs. uzm.:	hesap uzmanı
hssgm:	sağlık bakanlığı hudut ve sahiller sağlık genel müdürlüğü
huk:	maliye bakanlığı hesap uzmanları kurulu başkanlığı
huk.:	hukuk
hü:	hacettepe üniversitesi
hv. kuv.:	hava kuvvetleri
hv. kuv. k.:	hava kuvvetleri komutanı, komutanlığı
hz. öz.:	hizmete özel
hz.:	1. hazret, hazreti 2. hizmet, hizmette
iğdü:	iğdır üniversitesi
iaaf:	bk. uaaf (international amateur athletic federation)
iaea:	bk. uaea (international atomic energy agency)
iata:	bk. uhtb (international air transport association)
i̇aü:	i̇stanbul aydın üniversitesi
ibec:	bk. uei̇bb (international bank for economic corporation)
i̇br.:	i̇branice
ibrd:	bk. ui̇kb (international bank for reconstruction and development)
i̇bü:	i̇stanbul bilim üniversitesi
i̇bün:	i̇stanbul bilgi üniversitesi
icao:	bk. ushö (international civil aviation organization)
icc:	bk. uto (international chambers of commerce)
icic:	bk. uhi̇k (islamic committee of the international crescent)
icj:	bk. uad (international court of justice)
icrc:	bk. ukk (international committee of the red cross)
icsid:	bk. uyaçm (international center of the settlement of investment disputes)
ida:	bk. uka (international development agency)
idb:	bk. i̇kb (islamic development bank)
i̇dbü:	i̇hsan doğramacı bilkent üniversitesi
i̇dt:	i̇ktisadi devlet teşekkülleri
iea:	bk. uea (international energy agency)
i̇egm:	i̇laç ve eczacılık genel müdürlüğü
i̇ett:	i̇stanbul elektrik, tünel, tramvay i̇şletmesi
i̇eü:	i̇zmir ekonomi üniversitesi
ifad:	bk. utkf (international fund for agricultural development)
ifc:	bk. ufk (international finance corporation)
ifoam:	bk. uethf (international federation of organic agriculture movements)
i̇gb:	başbakanlık i̇dareyi geliştirme başkanlığı
i̇geme:	i̇hracatı geliştirme etüd merkezi
igh:	bk. uad (international court of justice)
i̇gm:	i̇lköğretim genel müdürlüğü
i̇hb:	i̇nsan hakları başkanlığı
i̇kb:	i̇slam kalkınma bankası
i̇kbü:	i̇stanbul kemerburgaz üniversitesi
i̇kö:	i̇slam konferansı örgütü
i̇kü:	i̇stanbul kültür üniversitesi
i̇kv:	i̇ktisadi kalkınma vakfı
i̇lbank:	i̇ller bankası genel müdürlüğü
ilo:	bk. uçö (international labor organization)
imf:	bk. upf (international monetary fund)
i̇mkb:	i̇stanbul menkul kıymetler borsası
imo:	bk. udö (international maritime organization)
i̇ng.:	i̇ngilizce
interpol:	uluslararası cinayet polisi komisyonu (international criminal police commission)
i̇o:	i̇lköğretim okulu
ioc:	bk. uok (international olympic committee)
ipi:	bk. ube (international press institute)
iro:	bk. umt (international refugee organization)
is.:	i̇sim
isbn:	uluslararası standart kitap numarası (international standard book number)
i̇sdemi̇r:	i̇skenderun demir çelik fabrikaları
i̇sedak:	i̇slam konferansı örgütü ekonomik ve ticari i̇ş birliği daimî komitesi
i̇sg:	i̇ş sağlığı ve güvenliği genel müdürlüğü
i̇ski̇:	i̇stanbul su ve kanalizasyon i̇daresi
i̇skyf:	i̇ktisadi ve sosyal kalkınma yatırım fonları
ismn:	uluslararası standart müzik numarası (international standard music number)
iso:	bk. usö (international organization for standardization)
i̇so:	i̇stanbul sanayi odası
i̇sp.:	i̇spanyolca
issn:	uluslararası standart dizi numarası (international standard serial number)
i̇şkur:	türkiye i̇ş kurumu
işl.:	i̇şleyen
i̇şot:	i̇stanbul şehirler arası otobüs terminali
i̇t.:	i̇talyanca
i̇tb:	i̇stanbul ticaret borsası
itc:	bk. utm (international trade center)
i̇tg:	i̇ç ticaret genel müdürlüğü
i̇ti̇cü:	i̇stanbul ticaret üniversitesi
ito:	birleşmiş milletler uluslararası ticaret birliği (international trade organization)
i̇to:	i̇stanbul ticaret odası
i̇tü:	i̇stanbul teknik üniversitesi
i̇ü:	1. i̇nönü üniversitesi 2. i̇stanbul üniversitesi
iwf:	bk. upf (international monetary fund)
i̇yte:	i̇zmir yüksek teknoloji enstitüsü
i̇ztb:	i̇zmir ticaret borsası
i̇zto:	i̇zmir ticaret odası
i̇zü:	i̇zmir üniversitesi
j:	jandarma
jal:	bk. jhy (japan airlines)
jap.:	japonca
jeol.:	jeoloji
jgk:	jandarma genel komutanlığı
jhy:	japon hava yolları (japan airlines)
k:	1. kuzey 2. komutan, komutanlığı
kal:	kalori
kardemi̇r:	karabük demir çelik fabrikaları
kastb:	kuzey amerika serbest ticaret bölgesi
kaü:	kafkas üniversitesi
kb:	kuzeybatı
kbb:	kulak, burun, boğaz
kbü:	karabük üniversitesi
kd:	kuzeydoğu
kdv:	katma değer vergisi
ked:	kablosuz erişim düzeneği
kegm:	kıyı emniyeti genel müdürlüğü
kei̇:	karadeniz ekonomik i̇ş birliği
keyk:	karşılıklı ekonomik yardım konseyi
kg:	kilogram
kgb:	sovyet gizli haber alma teşkilatı (komitet gossudarrstvennoi bezopastnosti)
kgm:	adalet bakanlığı kanunlar genel müdürlüğü
khk:	kanun hükmünde kararname
khü:	kadir has üniversitesi
khz:	kilohertz
ki̇bi̇b:	kalkınma i̇çin bölgesel i̇ş birliği
ki̇k:	1. kamu i̇hale kurumu 2. kamu i̇ktisadi kuruluşları
kim.:	kimya
ki̇t:	kamu i̇ktisadi teşekkülü
ki̇yü:	kilis 7 aralık üniversitesi
kkb:	karayip kalkınma bankası
kkgm:	tarım ve köyişleri bakanlığı koruma ve kontrol genel müdürlüğü
kkk:	kara kuvvetleri komutanlığı
kktc:	kuzey kıbrıs türk cumhuriyeti
klü:	kırklareli üniversitesi
km:	kilometre
kms:	kurumlar i̇çi merkezî eleme sınavı
kmü:	karamanoğlu mehmetbey üniversitesi
kobi̇:	küçük ve orta boy (ölçekli) i̇şletme
koi̇:	kamu ortaklığı i̇daresi
koor.:	koordinasyon
kor.:	kolordu
kora.:	koramiral
korg.:	korgeneral
kosgeb:	küçük ve orta ölçekli i̇şletmeleri geliştirme ve destekleme i̇daresi başkanlığı
koü:	kocaeli üniversitesi
kpds:	kamu personeli yabancı dil bilgisi seviye tespit sınavı
kpss:	kamu personel seçme sınavı
kr.:	kuruş
krş.:	karşılaştırınız
ksdb:	kanserle savaş dairesi başkanlığı
ksgm:	kadının statüsü genel müdürlüğü
ksü:	kahramanmaraş sütçü i̇mam üniversitesi
ktkb:	karadeniz ticaret ve kalkınma bankası
kto-kü:	kto karatay üniversitesi
ktop:	karayip topluluğu ve ortak pazarı
ktögm:	kız teknik öğretim genel müdürlüğü
ktü:	karadeniz teknik üniversitesi
kugm:	kara ulaştırma genel müdürlüğü
kur.:	kurmay 
kur. bşk.:	kurmay başkanı, başkanlığı
kü:	1. kastamonu üniversitesi 2. kırıkkale üniversitesi 3. koç üniversitesi
kvmgm:	kültür varlıkları ve müzeler genel müdürlüğü
kygm:	kütüphaneler ve yayımlar genel müdürlüğü
l:	litre
labb:	latin amerika bütünleşme birliği
lafta:	bk. lastb (latin america free trade area)
laia:	bk. labb (latin american integration association)
lakek:	latin amerika ve karayipler ekonomik komisyonu
lastb:	latin amerika serbest ticaret bölgesi
lat.:	latince
lcv:	lütfen cevap veriniz
les:	lisansüstü eğitim giriş sınavı
lp:	uzunçalar (long play)
lpg:	sıvılaştırılmış petrol gazı (liquified petroleum gas)
ltd.:	limitet
lys:	lisans yerleştirme sınavı
m:	metre
m:	miladi
mac.:	macarca
mah.:	1. mahalle, mahallesi 2. mahkeme, mahkemesi
makü:	mehmet akif ersoy üniversitesi
man.:	mantık
maö:	merkezî antlaşma örgütü
masak:	mali suçları araştırma kurulu başkanlığı
mat.:	matematik
maü:	1. mardin artuklu üniversitesi 2. muş alparslan üniversitesi
mb:	1. maliye bakanlığı 2. bilgisayarda bellek birimi (megabyte)
md.:	müdür, müdürlük, müdürlüğü
meb:	millî eğitim bakanlığı
mec.:	mecaz
meü:	mersin üniversitesi
mgk:	millî güvenlik kurulu genel sekreterliği
mgm:	1. i̇çişleri bakanlığı mahalli i̇dareler genel müdürlüğü 2.maliye bakanlığı muhasebat genel müdürlüğü
mğü:	muğla üniversitesi
mhat:	merkezî haber alma teşkilatı
mhz:	megahertz
mi̇gem:	maden i̇şleri genel müdürlüğü
mi̇le:	millî emlak genel müdürlüğü
mim.:	mimarlık
min.:	mineraloji
mi̇t:	millî i̇stihbarat teşkilatı müsteşarlığı
mk:	medeni kanun
mkb:	millî kütüphane başkanlığı
mke:	makine ve kimya endüstrisi kurumu
mks:	metre-kilogram-saat
mkü:	mustafa kemal üniversitesi
mkyk:	merkez karar yönetim kurulu
mm:	milimetre
mobese:	bölgesel güvenlik sistemi (mobil elekronik sistem entegrasyonu)
mossad:	i̇srail gizli haber alma örgütü
mö:	milattan önce
mpi̇:	millî piyango i̇daresi genel müdürlüğü
mpm:	millî prodüktivite merkezi
mr:	manyetik rezonans görüntüleme
ms:	milattan sonra
msb:	millî savunma bakanlığı
msgsü:	mimar sinan güzel sanatlar üniversitesi
mta:	maden tetkik ve arama genel müdürlüğü
mü:	1. maltepe üniversitesi 2. marmara üniversitesi 3. melikşah üniversitesi
müh.:	mühendis, mühendisi, mühendislik
mür.:	müracaat
müz.:	müzik
myk:	1. mesleki yeterlilik kurumu 2. mülteciler yüksek komiserliği
nafta:	bk. kastb (north american free trade area)
nasa:	amerikan ulusal havacılık ve uzay araştırmaları merkezi(national aeronautics and space administration)
nato:	kuzey atlantik antlaşması teşkilatı (north atlantic treaty organization)
neü:	nevşehir üniversitesi
